Class,Full Name,Credits,Prerequisites,Description
"""MQM 220""","""Business Organization And Management""",3,"[""ECO 101""]","Organization theories and the role of managers as leaders. Planning and control systems, decision-making, and human considerations."
"""COM 110""","""Composition As Critical Inquiry""",3,,"Development of communication competence, critical thinking, information literacy, and ethical practices in public speaking, small group, and interpersonal contexts. May not be taken under the P/NP option. Not for credit if had COM 110a01."
"""COM 223""","""Small Group Processes""",3,,"The study of theory and basic concepts in small group communication. Practical experience in group deliberation, decision-making, and problem solving. Focus on developing group communication competence through participation in a group project, perhaps related to civic engagement."
"""ENG 101""","""Composition As Critical Inquiry""",3,,"Rhetorical approach to writing, taught through extensive collaborative drafting, revising, and editing. Emphasis on critical reading and analysis. Computer-assisted. Not for credit major/minor. Not for credit if had ENG 101a10. May not be taken under the P/NP option."
"""ENG 249""","""Technical and Professional Writing 1""",3,"[""ENG 101""]"," Introduction to technical and professional writing. Includes study of manuals, reports, proposals, audience analysis, formatting, and style."
"""IT 168"" ","""Structured Problem Solving Using The Computer""",4,"[""MAT 140""]",Introduction to the development of algorithms for computer systems processing. Emphasis on structured problem solving and the design of problem solutions. Recommended as one of the first courses in the Computer Science major. Lecture and lab.
"""IT 191""","""Introduction To IT Professional Practice""",1,"[""IT 168""]","Researching available positions, interpreting job descriptions, interview skills, preparing a resume, benefits of a Professional Practice experience."
"""IT 214""","""Social, Legal, And Ethical Issues In Information Technology""",3,"[""COM 110"" ,""ENG 101""]","Study of personal, societal, legal, and ethical issues raised by the effects of information technology."
"""IT 261""","""Systems Development I""",3,"[""IT 170"", ""IT 254""]","Information systems development, development methodologies, analysis and design techniques and tools, relational database concepts."
"""IT 378""","""Database Processing""",3,"[""IT 261""]","Database concepts, emphasis on relational databases, SQL, data modeling, database design, DBMS functions, database application programming, current trends, design project."
"""IT 398""","""Professional Practice: In Information Technology""",6,"[""IT 191""]"," ""Multiple enrollments are allowed. Maximum 16 hours credit in Professional Practice."""
"""IT 250""",Fundamentals of Information Assurance and Security,3,"[""IT 170""]","Fundamental concepts in information assurance and security including planning, risk management, cryptography, network security, hardening, people, and physical security. Formerly IT 350."
"""IT 276""",Data Communications,3,"[""IT 168"", ""IT 225""]","Hardware and software used in data communications and networking. Network types, architectures, protocols and standards. Local area and packet networks. Formerly IT 375."
"""IT 350""","""Operating Systems Concepts and Administration""",3,"[""IT 254""]","This course will introduce essential operating systems concepts, the implementation and administration of those concepts on Linux/Unix platforms."
"""IT 351""","""Practical Cryptography and Trusted Systems""",3,"[""IT 250""]","Practical cryptography and its applications, authentication protocols, access controls and trusted systems. Formerly ADVANCED INFORMATION ASSURANCE AND APPLIED CRYPTOGRAPHY."
"""IT 357""","""Tools And Techniques In Defensive Security""",3,"[""IT 250"", ""IT 276""]",Application of current tools and techniques in preventative information assurance and security including monitoring and defensive countermeasures. Formerly TOOLS AND TECHNIQUES IN INFORMATION ASSURANCE AND SECURITY.
